Buffer Size,Jitter Magnitude,Policy,Base Length for Thresholding,Std Dev Frame Time,Interrupt Frequency (/s),Interrupt Mag (ms/s),QoE_FTSD,QoE_IF,QoE_IM
10,20,0,3,1.5816555095486506,0.0,0.0,4.511427291465275,3.7,4.0
10,20,0,3,1.5531726976596492,0.0,0.0,4.51302232893106,3.7,4.0
10,20,0,3,1.5195557231990569,0.0,0.0,4.514904879500852,3.7,4.0
10,20,0,3,1.387703262950879,0.0,0.0,4.52228861727475,3.7,4.0
10,0,0,3,1.2964588173546483,0.0,0.0,4.5273983062281395,3.7,4.0
10,0,0,3,1.7707804620875318,0.0,0.0,4.500836294123098,3.7,4.0
10,0,0,3,1.491571652317345,0.0,0.0,4.516471987470228,3.7,4.0
10,0,0,3,1.4660066034344856,0.0,0.0,4.517903630207669,3.7,4.0
10,0,0,3,1.3475166258343434,0.0,0.0,4.524539068953277,3.7,4.0
10,0,0,3,1.2423317171656811,0.0,0.0,4.530429423838721,3.7,4.0
10,0,0,3,1.569033139346783,0.0,0.0,4.51213414419658,3.7,4.0
10,0,0,3,1.7943638500965369,0.0,0.0,4.4995156243945935,3.7,4.0
10,0,0,3,1.476792776552608,0.0,0.0,4.517299604513053,3.7,4.0
10,0,0,3,1.8633817812474096,0.0,0.0,4.495650620250145,3.7,4.0
10,0,0,3,1.369908965809843,0.0,0.0,4.523285097914648,3.7,4.0
10,0,0,3,1.4340349073157286,0.0,0.0,4.5196940451903185,3.7,4.0
10,0,0,3,1.5650355956369035,0.0,0.0,4.512358006644333,3.7,4.0
10,0,0,3,1.6345337173844143,0.0,0.0,4.508466111826473,3.7,4.0
10,0,0,3,1.472324301495146,0.0,0.0,4.517549839116271,3.7,4.0
10,0,0,3,1.7686542134516137,0.0,0.0,4.5009553640467095,3.7,4.0
10,0,0,3,1.324265974983521,0.0,0.0,4.525841105400922,3.7,4.0
10,0,0,3,1.6289043938056318,0.0,0.0,4.508781353946884,3.7,4.0
10,0,0,3,1.5566133810307623,0.0,0.0,4.512829650662277,3.7,4.0
10,0,0,3,1.5709864722329931,0.0,0.0,4.512024757554952,3.7,4.0
10,20,2,5,1.7713102600396489,0.0,0.0,4.50080662543778,3.7,4.0
10,20,2,5,1.6737504590028969,0.0486017723490468,0.0595841204396714,4.506269974295837,3.698882159235972,3.999761663518241
