Run Number,Run Start Time,Run End Time,Jitter.py Run Duration (s),"Unity,exe Run Duration (s)",Server Restart Duration (s),Total Script Run Duration (s),Unity.exe Stop Duration (s),Buffer Size,Jitter Magnitude,Policy,baseLength
7,'2025-01-30 01:37:09,'2025-01-30 01:38:29,3.31,65,9.651250123977661,557.9862577915192,1.1,10,0,2,5
8,'2025-01-30 01:38:29,'2025-01-30 01:39:48,3.28,65,9.685391426086426,637.642415523529,1.1,10,0,2,5
9,'2025-01-30 01:39:48,'2025-01-30 01:41:08,3.33,65,9.672924757003784,717.3318028450012,1.1,10,0,2,5
10,'2025-01-30 01:41:08,'2025-01-30 01:42:28,3.28,65,9.67855978012085,797.0698707103729,1.11,10,0,2,5
11,'2025-01-30 01:42:28,'2025-01-30 01:43:48,3.3,65,9.649945497512817,876.7459716796875,1.1,10,0,2,5
12,'2025-01-30 01:43:48,'2025-01-30 01:45:07,3.37,65,9.65680193901062,956.4957346916199,1.1,10,0,2,5
13,'2025-01-30 01:45:07,'2025-01-30 01:46:27,3.31,65,9.653286218643188,1036.1567342281342,1.1,10,0,2,5
14,'2025-01-30 01:46:27,'2025-01-30 01:47:47,3.31,65,9.730765342712402,1115.9318203926086,1.1,10,0,2,5
15,'2025-01-30 01:47:47,'2025-01-30 01:49:07,3.35,65,9.800437927246094,1195.7807621955872,1.11,10,0,2,5
16,'2025-01-30 01:49:07,'2025-01-30 01:50:26,3.37,65,9.72859239578247,1275.589037179947,1.11,10,0,2,5
17,'2025-01-30 01:50:26,'2025-01-30 01:51:46,3.27,65,9.61284065246582,1355.1728608608246,1.1,10,0,2,5
18,'2025-01-30 01:51:46,'2025-01-30 01:53:06,3.35,65,9.740582942962646,1434.9895088672638,1.1,10,0,2,5
19,'2025-01-30 01:53:06,'2025-01-30 01:54:25,3.3,65,9.642658710479736,1514.6302795410156,1.1,10,0,2,5
20,'2025-01-30 01:54:25,'2025-01-30 01:55:45,3.27,65,9.689672708511353,1594.2871420383453,1.1,10,0,2,5
1,'2025-01-30 01:55:45,'2025-01-30 01:57:05,3.81,65,9.7233407497406,80.28022646903992,1.1,10,20,2,3
2,'2025-01-30 01:57:05,'2025-01-30 01:58:26,3.8,65,9.689663887023926,160.50880074501038,1.1,10,20,2,3
3,'2025-01-30 01:58:26,'2025-01-30 01:59:46,3.8,65,9.690468072891235,240.77173447608948,1.1,10,20,2,3
4,'2025-01-30 01:59:46,'2025-01-30 02:01:06,3.81,65,9.71190357208252,320.99230694770813,1.1,10,20,2,3
5,'2025-01-30 02:01:06,'2025-01-30 02:02:26,3.78,65,9.71015739440918,401.2072274684906,1.1,10,20,2,3
6,'2025-01-30 02:02:26,'2025-01-30 02:03:46,3.77,65,9.7248055934906,481.39987325668335,1.1,10,20,2,3
7,'2025-01-30 02:03:46,'2025-01-30 02:05:07,3.88,65,9.678658246994019,561.6970336437225,1.11,10,20,2,3
8,'2025-01-30 02:05:07,'2025-01-30 02:06:27,3.81,65,9.691273927688599,641.8838276863098,1.1,10,20,2,3
9,'2025-01-30 02:06:27,'2025-01-30 02:07:47,3.78,65,9.732725858688354,722.0917234420776,1.1,10,20,2,3
10,'2025-01-30 02:07:47,'2025-01-30 02:09:07,3.85,65,9.78697657585144,802.4386327266693,1.1,10,20,2,3
11,'2025-01-30 02:09:07,'2025-01-30 02:10:28,3.79,65,9.714998006820679,882.6734156608582,1.1,10,20,2,3
12,'2025-01-30 02:10:28,'2025-01-30 02:11:48,3.81,65,9.643512487411499,962.8358271121979,1.11,10,20,2,3
13,'2025-01-30 02:11:48,'2025-01-30 02:13:08,3.85,65,9.61083173751831,1042.9942033290863,1.11,10,20,2,3
14,'2025-01-30 02:13:08,'2025-01-30 02:14:28,3.8,65,9.596953392028809,1123.0894389152527,1.1,10,20,2,3
15,'2025-01-30 02:14:28,'2025-01-30 02:15:49,3.8,65,9.812323570251465,1203.444117307663,1.1,10,20,2,3
16,'2025-01-30 02:15:49,'2025-01-30 02:17:09,3.81,65,9.718897581100464,1283.6939930915833,1.11,10,20,2,3
17,'2025-01-30 02:17:09,'2025-01-30 02:18:29,3.81,65,9.646080017089844,1363.8400475978851,1.11,10,20,2,3
18,'2025-01-30 02:18:29,'2025-01-30 02:19:49,3.81,65,9.611577987670898,1443.9522478580475,1.11,10,20,2,3
19,'2025-01-30 02:19:49,'2025-01-30 02:21:09,3.85,65,9.709152221679688,1524.238049507141,1.1,10,20,2,3
20,'2025-01-30 02:21:09,'2025-01-30 02:22:29,3.8,65,9.670125961303711,1604.3956158161163,1.1,10,20,2,3
1,'2025-01-30 02:22:29,'2025-01-30 02:23:50,3.77,65,9.722268342971802,80.22259092330933,1.1,10,40,2,3
2,'2025-01-30 02:23:50,'2025-01-30 02:25:10,3.82,65,9.686165571212769,160.4507131576538,1.1,10,40,2,3
3,'2025-01-30 02:25:10,'2025-01-30 02:26:30,3.79,65,9.629847526550293,240.55709958076477,1.11,10,40,2,3
4,'2025-01-30 02:26:30,'2025-01-30 02:27:50,3.8,65,9.701639890670776,320.73911690711975,1.1,10,40,2,3
5,'2025-01-30 02:27:50,'2025-01-30 02:29:10,3.83,65,9.744657754898071,401.0016465187073,1.1,10,40,2,3
6,'2025-01-30 02:29:10,'2025-01-30 02:30:31,3.8,65,9.670137882232666,481.18197560310364,1.1,10,40,2,3
7,'2025-01-30 02:30:31,'2025-01-30 02:31:51,3.83,65,9.692942380905151,561.4087378978729,1.11,10,40,2,3
8,'2025-01-30 02:31:51,'2025-01-30 02:33:11,3.83,65,9.64487600326538,641.5903949737549,1.11,10,40,2,3
9,'2025-01-30 02:33:11,'2025-01-30 02:34:31,3.79,65,9.725259065628052,721.828558921814,1.11,10,40,2,3
10,'2025-01-30 02:34:31,'2025-01-30 02:35:52,3.79,65,9.761744260787964,802.0659079551697,1.1,10,40,2,3
11,'2025-01-30 02:35:52,'2025-01-30 02:37:12,3.81,65,9.703917741775513,882.3065996170044,1.11,10,40,2,3
12,'2025-01-30 02:37:12,'2025-01-30 02:38:32,3.83,65,9.591912984848022,962.4410064220428,1.11,10,40,2,3
13,'2025-01-30 02:38:32,'2025-01-30 02:39:52,3.79,65,9.652259111404419,1042.5761544704437,1.1,10,40,2,3
14,'2025-01-30 02:39:52,'2025-01-30 02:41:12,3.83,65,9.710238933563232,1122.862788438797,1.1,10,40,2,3
15,'2025-01-30 02:41:12,'2025-01-30 02:42:32,3.8,65,9.625322818756104,1202.9929809570312,1.11,10,40,2,3
16,'2025-01-30 02:42:32,'2025-01-30 02:43:53,3.78,65,9.632510900497437,1283.1572484970093,1.11,10,40,2,3
17,'2025-01-30 02:43:53,'2025-01-30 02:45:13,3.83,65,9.653781175613403,1363.372947692871,1.1,10,40,2,3
18,'2025-01-30 02:45:13,'2025-01-30 02:46:33,3.78,65,9.693404912948608,1443.5488226413727,1.11,10,40,2,3
19,'2025-01-30 02:46:33,'2025-01-30 02:47:53,3.83,65,9.719549417495728,1523.842349767685,1.1,10,40,2,3
20,'2025-01-30 02:47:53,'2025-01-30 02:49:14,3.82,65,9.734252691268921,1604.1126742362976,1.1,10,40,2,3
1,'2025-01-30 02:49:14,'2025-01-30 02:50:33,3.4,65,9.718220233917236,79.82210516929626,1.11,10,0,2,3
2,'2025-01-30 02:50:33,'2025-01-30 02:51:53,3.33,65,9.692692279815674,159.53558826446533,1.1,10,0,2,3
3,'2025-01-30 02:51:53,'2025-01-30 02:53:13,3.35,65,9.806820392608643,239.3827109336853,1.1,10,0,2,3
4,'2025-01-30 02:53:13,'2025-01-30 02:54:33,3.27,65,9.63618540763855,319.0028405189514,1.1,10,0,2,3
5,'2025-01-30 02:54:33,'2025-01-30 02:55:52,3.27,65,9.721467018127441,398.72641015052795,1.1,10,0,2,3
6,'2025-01-30 02:55:52,'2025-01-30 02:57:12,3.3,65,9.66367769241333,478.3754448890686,1.1,10,0,2,3
7,'2025-01-30 02:57:12,'2025-01-30 02:58:32,3.28,65,9.660588502883911,558.0367023944855,1.11,10,0,2,3
8,'2025-01-30 02:58:32,'2025-01-30 02:59:51,3.26,65,9.611509799957275,637.6302607059479,1.1,10,0,2,3
9,'2025-01-30 02:59:51,'2025-01-30 03:01:11,3.29,65,9.743422746658325,717.3615715503693,1.1,10,0,2,3
10,'2025-01-30 03:01:11,'2025-01-30 03:02:31,3.3,65,9.63831377029419,797.0204439163208,1.11,10,0,2,3
11,'2025-01-30 03:02:31,'2025-01-30 03:03:50,3.29,65,9.62649130821228,876.6297991275787,1.1,10,0,2,3
12,'2025-01-30 03:03:50,'2025-01-30 03:05:10,3.31,65,9.743417263031006,956.38037109375,1.11,10,0,2,3
13,'2025-01-30 03:05:10,'2025-01-30 03:06:30,3.3,65,9.720716953277588,1036.1320433616638,1.1,10,0,2,3
14,'2025-01-30 03:06:30,'2025-01-30 03:07:49,3.28,65,9.680771589279175,1115.819259405136,1.1,10,0,2,3
15,'2025-01-30 03:07:49,'2025-01-30 03:09:09,3.27,65,9.720816850662231,1195.4973058700562,1.1,10,0,2,3
16,'2025-01-30 03:09:09,'2025-01-30 03:10:29,3.31,65,9.82093358039856,1275.3085074424744,1.1,10,0,2,3
17,'2025-01-30 03:10:29,'2025-01-30 03:11:49,3.3,65,9.63774585723877,1354.9500877857208,1.1,10,0,2,3
18,'2025-01-30 03:11:49,'2025-01-30 03:13:08,3.3,65,9.707664489746094,1434.7012536525726,1.11,10,0,2,3
19,'2025-01-30 03:13:08,'2025-01-30 03:14:28,3.29,65,9.681489944458008,1514.3528933525085,1.1,10,0,2,3
20,'2025-01-30 03:14:28,'2025-01-30 03:15:48,3.27,65,9.665306329727173,1593.9791069030762,1.11,10,0,2,3
1,'2025-01-30 03:15:48,'2025-01-30 03:17:07,3.31,65,9.65653944015503,79.66589021682739,1.1,0,0,0,3
2,'2025-01-30 03:17:07,'2025-01-30 03:18:27,3.27,65,9.686341285705566,159.31184768676758,1.11,0,0,0,3
3,'2025-01-30 03:18:27,'2025-01-30 03:19:46,3.28,65,9.619831323623657,238.8974061012268,1.1,0,0,0,3
