Time, Status
5348097803441, 0
5348097881909, 1
5348097965925, 0
5348098041338, 1
5348098157011, 0
5348098192288, 1
5348098302376, 0
5348098385500, 1
5348098470487, 0
5348098535655, 1
5348098632657, 0
5348098727613, 1
5348098800628, 0
5348098875391, 1
5348098968095, 0
5348099069243, 1
5348099136384, 0
5348099217244, 1
5348099312453, 0
5348099407615, 1
5348099495928, 0
5348099555678, 1
5348099636027, 0
5348099746835, 1
5348099802915, 0
5348099896277, 1
5348099988334, 0
5348100056363, 1
5348100170725, 0
5348100250102, 1
5348100305230, 0
5348100401815, 1
5348100469719, 0
5348100602627, 1
5348100637686, 0
5348100753232, 1
5348100807005, 0
5348100905221, 1
5348100970713, 0
5348101104530, 1
5348101142331, 0
5348101253717, 1
5348101306180, 0
5348101406362, 1
5348101473831, 0
5348101608139, 1
5348101637800, 0
5348101766700, 1
5348101805675, 0
5348101957977, 1
5348101973386, 0
5348102128334, 1
5348102137413, 0
5348102277931, 1
5348102309354, 0
5348102432846, 1
5348102521703, 0
5348102597226, 1
5348102637424, 0
5348102749753, 1
5348102807277, 0
5348102946788, 1
5348102970602, 0
5348103096931, 1
5348103138837, 0
5348103291366, 1
5348103305018, 0
5348103441209, 1
5348103471027, 0
5348103589258, 1
5348103639896, 0
5348103784740, 1
5348103806066, 0
5348103936805, 1
5348103983532, 0
5348104097656, 1
5348104160800, 0
5348104305104, 0
5348104307984, 1
5348104456579, 1
5348104473265, 0
5348104608026, 1
5348104672723, 0
5348104804590, 1
5348104806914, 0
5348104954433, 1
5348104973575, 0
5348105105331, 1
5348105139351, 0
5348105299020, 1
5348105307607, 0
5348105446273, 1
5348105520137, 0
5348105638839, 0
5348105642887, 1
5348105792857, 1
5348105806043, 0
5348105975180, 0
5348105997099, 1
5348106140631, 0
5348106152888, 1
5348106303349, 1
5348106306765, 0
5348106452633, 1
5348106473293, 0
5348106641846, 0
5348106648546, 1
5348106798273, 1
5348106809161, 0
5348106989911, 1
5348106993904, 0
5348107141702, 1
5348107160211, 0
5348107293085, 1
5348107319135, 0
5348107484176, 0
5348107488536, 1
5348107636811, 1
5348107641992, 0
5348107808969, 0
5348107828152, 1
5348107973752, 0
5348107976129, 1
5348108133675, 1
5348108140021, 0
5348108307894, 0
5348108324516, 1
5348108474074, 1
5348108501753, 0
5348108635729, 0
5348108667074, 1
5348108803471, 0
5348108815878, 1
5348108970719, 0
5348109005765, 1
5348109139627, 0
5348109155120, 1
5348109308703, 0
5348109347131, 1
5348109475617, 0
5348109494439, 1
5348109648430, 0
5348109689426, 1
5348109807294, 0
5348109840764, 1
5348109971314, 0
5348109988830, 1
5348110139583, 0
5348110151547, 1
5348110307979, 0
5348110344696, 1
5348110476436, 0
5348110491650, 1
5348110652296, 0
5348110682917, 1
5348110814824, 0
5348110831394, 1
5348110988284, 0
5348111021983, 1
5348111147766, 0
5348111170678, 1
5348111315724, 0
5348111360419, 1
5348111477654, 0
5348111509753, 1
5348111641831, 0
5348111702161, 1
5348111811116, 0
5348111855201, 1
5348111971799, 0
5348112010303, 1
5348112142854, 0
5348112170988, 1
5348112307032, 0
5348112367709, 1
5348112484762, 0
5348112525184, 1
5348112648372, 0
5348112686886, 1
5348112809543, 0
5348112878510, 1
5348112976106, 0
5348113027625, 1
5348113141038, 0
5348113218021, 1
5348113306750, 0
5348113366730, 1
5348113521088, 0
5348113543910, 1
5348113648668, 0
5348113707991, 1
5348113871586, 0
5348113876320, 1
5348114088365, 0
5348114145500, 0
5348114178664, 1
5348114314878, 0
5348114337186, 1
5348114481212, 0
5348114489605, 1
5348114637257, 1
5348114653539, 0
5348114787096, 1
5348114853119, 0
5348114936765, 1
5348114984934, 0
5348115105216, 1
5348115146688, 0
5348115257151, 1
5348115320025, 0
5348115407102, 1
5348115483162, 0
5348115557856, 1
5348115647248, 0
5348115711679, 1
5348115819025, 0
5348115905809, 1
5348115982675, 0
5348116056980, 1
5348116148100, 0
5348116215045, 1
5348116318607, 0
5348116410222, 1
5348116481472, 0
5348116582876, 1
5348116649666, 0
5348116738709, 1
5348116820064, 0
5348116887975, 1
5348116987493, 0
5348117079331, 1
5348117151883, 0
5348117226526, 1
5348117317983, 0
5348117417459, 1
5348117485643, 0
5348117564348, 1
5348117764792, 1
5348117788623, 0
5348117823804, 0
5348117919386, 1
5348117982384, 0
5348118075557, 1
5348118157201, 0
5348118235488, 1
5348118319287, 0
5348118389695, 1
5348118485537, 0
5348118585184, 1
5348118657378, 0
5348118735156, 1
5348118818709, 0
5348118928567, 1
5348118988834, 0
5348119076563, 1
5348119150107, 0
5348119225409, 1
5348119322109, 0
5348119416747, 1
5348119574371, 1
5348119603700, 0
5348119647379, 0
5348119726754, 1
5348119818043, 0
5348119921488, 1
5348119988614, 0
5348120070189, 1
5348120161151, 0
5348120271950, 1
5348120320225, 0
5348120422870, 1
5348120484563, 0
5348120582223, 1
5348120679921, 0
5348120747594, 1
5348120838623, 0
5348120947643, 1
5348120997692, 0
5348121109309, 1
5348121156489, 0
5348121259470, 1
5348121316668, 0
5348121413638, 1
5348121488496, 0
5348121614518, 1
5348121645755, 0
5348121771985, 1
5348121826567, 0
5348121926279, 1
5348122082661, 1
5348122165830, 0
5348122251671, 0
5348122291574, 1
5348122350022, 0
5348122441977, 1
5348122489534, 0
5348122607521, 1
5348122654396, 0
5348122758558, 1
5348122831869, 0
5348122956261, 1
5348122994447, 0
5348123105016, 1
5348123157998, 0
5348123256396, 1
5348123322882, 0
5348123448876, 1
5348123488503, 0
5348123599116, 1
5348123673745, 0
5348123799510, 1
5348123830826, 0
5348123959771, 1
5348123984221, 0
5348124110474, 1
5348124159792, 0
5348124261533, 1
5348124321247, 0
5348124470342, 1
5348124495995, 0
5348124619419, 1
5348124654006, 0
5348124768214, 1
5348124821155, 0
5348124959380, 1
5348124985728, 0
5348125109822, 1
5348125159937, 0
5348125308819, 1
5348125328885, 0
5348125474799, 1
5348125487702, 0
5348125622619, 1
5348125663045, 0
5348125774627, 1
5348125813658, 0
5348125968368, 1
5348125985484, 0
5348126119766, 1
5348126146197, 0
5348126320491, 0
5348126321761, 1
5348126468490, 1
5348126486120, 0
5348126618469, 1
5348126655439, 0
5348126816126, 0
5348126818055, 1
5348126968753, 1
5348126983457, 0
5348127119179, 1
5348127149726, 0
5348127316926, 1
5348127317043, 0
5348127468604, 1
5348127487932, 0
5348127621262, 1
5348127652919, 0
5348127821947, 1
5348127822963, 0
5348127972094, 1
