Buffer Size,Jitter Magnitude,Policy,Base Length for Thresholding,Threshold,Decay,Std Dev Frame Time,Interrupt Frequency (/s),Interrupt Mag (ms/s),QoE_FTSD,QoE_IF,QoE_IM
10,0,0,3,600,2.0,1.6009915116252746,0.0,0.0,4.510344475348984,3.7,4.0
10,0,0,3,600,2.0,1.6278313336123338,0.0,0.0,4.508841445317709,3.7,4.0
10,0,0,3,600,2.0,1.8528970360634545,0.0,0.0,4.496237765980446,3.7,4.0
10,0,0,3,600,2.0,1.592853741713916,0.0,0.0,4.51080019046402,3.7,4.0
10,40,2,3,600,1.5,2.0949765721758244,0.0,0.0,4.482681311958154,3.7,4.0
10,40,2,3,600,1.5,1.5982794357013097,0.0,0.0,4.510496351600726,3.7,4.0
10,40,2,3,600,1.5,1.8862968767500616,0.01623934399591,0.006582877918246,4.494367374901996,3.6996264950880944,3.999973668488327
10,40,2,3,600,1.5,1.5882290511654378,0.0,0.0,4.511059173134735,3.7,4.0
10,40,2,3,600,1.5,2.0534548751079686,0.0162306054337989,0.0151458491502364,4.485006526993954,3.699626696075023,3.9999394166033992
10,40,2,3,600,1.5,1.5400589334842016,0.0,0.0,4.513756699724884,3.7,4.0
10,40,2,3,600,1.5,1.9186440163709224,0.0324807672738758,0.0353785714069818,4.492555935083228,3.699252942352701,3.999858485714372
10,40,2,3,600,1.5,1.7901111661983058,0.0,0.0,4.499753774692895,3.7,4.0
10,40,2,3,600,1.5,1.7822622241898889,0.0,0.0,4.500193315445366,3.7,4.0
10,40,2,3,600,1.5,1.6458255290430148,0.0,0.0,4.5078337703735905,3.7,4.0
10,40,2,3,600,1.5,1.6636968892715962,0.0,0.0,4.50683297420079,3.7,4.0
10,40,2,3,600,1.5,1.5263736847334652,0.0,0.0,4.514523073654925,3.7,4.0
10,40,2,3,600,1.5,1.6566388521284658,0.016230832559888,0.008541735327962,4.507228224280806,3.699626690851123,3.9999658330586882
10,40,2,3,600,1.5,2.181082719762133,0.0,0.0,4.47785936769332,3.7,4.0
10,40,2,3,600,1.5,1.8078600917745973,0.0,0.0,4.498759834860622,3.7,4.0
10,40,2,3,600,1.5,1.5766681622069632,0.0,0.0,4.51170658291641,3.7,4.0
10,40,2,3,600,1.5,1.5305495281930284,0.0,0.0,4.51428922642119,3.7,4.0
10,40,2,3,600,1.5,1.4901712883929374,0.0,0.0,4.516550407849995,3.7,4.0
10,40,2,3,600,1.5,1.652762106560682,0.0162220755334394,0.0159976593405098,4.507445322032601,3.699626892262731,3.999936009362638
10,40,2,3,600,1.5,1.670281874864175,0.0,0.0,4.506464215007606,3.7,4.0
10,20,2,3,600,1.5,1.6627590336675124,0.0,0.0,4.506885494114619,3.7,4.0
10,20,2,3,600,1.5,1.687411712432684,0.0,0.0,4.50550494410377,3.7,4.0
10,20,2,3,600,1.5,1.6106586499028035,0.0,0.0,4.509803115605442,3.7,4.0
10,20,2,3,600,1.5,1.582415702146552,0.0,0.0,4.511384720679793,3.7,4.0
10,20,2,3,600,1.5,1.4793939856881353,0.0,0.0,4.517153936801464,3.7,4.0
10,20,2,3,600,1.5,1.4550586362190767,0.0,0.0,4.518516716371732,3.7,4.0
10,20,2,3,600,1.5,1.626482688549676,0.0,0.0,4.508916969441218,3.7,4.0
10,20,2,3,600,1.5,1.6683917265189132,0.0,0.0,4.506570063314941,3.7,4.0
10,20,2,3,600,1.5,1.7252064968201477,0.0162276162823435,0.1480164046571862,4.503388436178072,3.6996267648255063,3.999407934381371
10,20,2,3,600,1.5,1.5073770871731933,0.0,0.0,4.515586883118301,3.7,4.0
10,20,2,3,600,1.5,1.6778323141413012,0.0,0.0,4.506041390408087,3.7,4.0
10,20,2,3,600,1.5,1.6755058965451106,0.0,0.0,4.506171669793473,3.7,4.0
10,20,2,3,600,1.5,1.6587162917040146,0.0,0.0,4.507111887664575,3.7,4.0
