Run Number,Run Start Time,Run End Time,Jitter.py Run Duration (s),"Unity,exe Run Duration (s)",Server Restart Duration (s),Total Script Run Duration (s),Buffer Size,Jitter Magnitude,Policy,baseLength,threshold,decay
6,'2025-02-28 21:58:09,'2025-02-28 21:59:33,3.83,64.10618472099304,15.717342376708984,505.9198844432831,1,80,0,3,600,2
7,'2025-02-28 21:59:33,'2025-02-28 22:00:57,3.83,64.10772514343262,15.743294477462769,590.2377665042877,1,80,0,3,600,2
8,'2025-02-28 22:00:57,'2025-02-28 22:02:22,3.86,64.10838150978088,15.766014337539673,674.803008556366,1,80,0,3,600,2
9,'2025-02-28 22:02:22,'2025-02-28 22:03:46,3.79,64.10681295394897,15.773460626602173,759.0945389270782,1,80,0,3,600,2
10,'2025-02-28 22:03:46,'2025-02-28 22:05:11,3.84,64.10927844047546,15.777888059616089,843.4583420753479,1,80,0,3,600,2
11,'2025-02-28 22:05:11,'2025-02-28 22:06:35,3.85,64.11072993278503,15.747209310531616,927.7537527084351,1,80,0,3,600,2
12,'2025-02-28 22:06:35,'2025-02-28 22:07:59,3.81,64.10644316673279,15.74627161026001,1012.1859931945801,1,80,0,3,600,2
13,'2025-02-28 22:07:59,'2025-02-28 22:09:24,3.81,64.10757064819336,15.781239748001099,1096.5445036888123,1,80,0,3,600,2
14,'2025-02-28 22:09:24,'2025-02-28 22:10:48,3.81,64.10848307609558,15.768954277038574,1180.8378875255585,1,80,0,3,600,2
15,'2025-02-28 22:10:48,'2025-02-28 22:12:12,3.8,64.10747075080872,15.803920269012451,1265.1728026866913,1,80,0,3,600,2
16,'2025-02-28 22:12:12,'2025-02-28 22:13:37,3.8,64.1074595451355,15.719177961349487,1349.618360042572,1,80,0,3,600,2
17,'2025-02-28 22:13:37,'2025-02-28 22:15:01,3.85,64.10960507392883,15.761812686920166,1434.009284734726,1,80,0,3,600,2
18,'2025-02-28 22:15:01,'2025-02-28 22:16:26,3.81,64.11042618751526,15.803534507751465,1518.3489472866058,1,80,0,3,600,2
19,'2025-02-28 22:16:26,'2025-02-28 22:17:50,3.82,64.10703754425049,15.743849039077759,1602.646436214447,1,80,0,3,600,2
20,'2025-02-28 22:17:50,'2025-02-28 22:19:14,3.81,64.10906744003296,15.770906925201416,1686.9325668811798,1,80,0,3,600,2
21,'2025-02-28 22:19:14,'2025-02-28 22:20:38,3.81,64.10730314254761,15.78325867652893,1771.2615897655487,1,80,0,3,600,2
22,'2025-02-28 22:20:38,'2025-02-28 22:22:03,3.81,64.11294722557068,15.788256406784058,1855.5955953598022,1,80,0,3,600,2
23,'2025-02-28 22:22:03,'2025-02-28 22:23:27,3.8,64.10694575309753,15.743988513946533,1939.848382472992,1,80,0,3,600,2
24,'2025-02-28 22:23:27,'2025-02-28 22:24:51,3.81,64.10805892944336,15.838688135147095,2024.2295937538147,1,80,0,3,600,2
25,'2025-02-28 22:24:51,'2025-02-28 22:26:16,3.81,64.10696816444397,15.832665205001831,2108.764929294586,1,80,0,3,600,2
26,'2025-02-28 22:26:16,'2025-02-28 22:27:40,3.82,64.10727572441101,15.806971549987793,2193.1034989356995,1,80,0,3,600,2
27,'2025-02-28 22:27:40,'2025-02-28 22:29:05,3.89,64.11179399490356,15.788986921310425,2277.6934237480164,1,80,0,3,600,2
28,'2025-02-28 22:29:05,'2025-02-28 22:30:29,3.83,64.11002492904663,15.796219110488892,2362.060791015625,1,80,0,3,600,2
29,'2025-02-28 22:30:29,'2025-02-28 22:31:54,3.83,64.1072907447815,15.804075717926025,2446.428390264511,1,80,0,3,600,2
30,'2025-02-28 22:31:54,'2025-02-28 22:33:18,3.83,64.1071150302887,15.781311273574829,2530.764368534088,1,80,0,3,600,2
31,'2025-02-28 22:33:18,'2025-02-28 22:34:42,3.8,64.10755205154419,15.746270179748535,2615.044840812683,1,80,0,3,600,2
32,'2025-02-28 22:34:42,'2025-02-28 22:36:07,3.82,64.11060905456543,15.808368921279907,2699.4099822044373,1,80,0,3,600,2
33,'2025-02-28 22:36:07,'2025-02-28 22:37:31,3.88,64.10755443572998,15.426423788070679,2783.503139257431,1,80,0,3,600,2
34,'2025-02-28 22:37:31,'2025-02-28 22:38:55,3.83,64.10838651657104,15.788143396377563,2867.8714525699615,1,80,0,3,600,2
35,'2025-02-28 22:38:55,'2025-02-28 22:40:20,3.81,64.10878920555115,15.815885782241821,2952.4262013435364,1,80,0,3,600,2
1,'2025-02-28 22:40:20,'2025-02-28 22:41:44,3.8,64.10610604286194,15.786739349365234,84.30462431907654,0,40,2,3,600,2
2,'2025-02-28 22:41:44,'2025-02-28 22:43:08,3.85,64.10773587226868,15.856268644332886,168.71624422073364,0,40,2,3,600,2
3,'2025-02-28 22:43:08,'2025-02-28 22:44:33,3.81,64.10881280899048,15.815746784210205,253.10959887504578,0,40,2,3,600,2
4,'2025-02-28 22:44:33,'2025-02-28 22:45:57,3.87,64.10795331001282,15.81001901626587,337.53764295578003,0,40,2,3,600,2
5,'2025-02-28 22:45:57,'2025-02-28 22:47:21,3.87,64.10929942131042,15.76844334602356,421.90121936798096,0,40,2,3,600,2
6,'2025-02-28 22:47:21,'2025-02-28 22:48:46,3.86,64.10804176330566,15.744484901428223,506.2209484577179,0,40,2,3,600,2
7,'2025-02-28 22:48:46,'2025-02-28 22:50:10,3.87,64.10672688484192,15.736664772033691,590.5938518047333,0,40,2,3,600,2
8,'2025-02-28 22:50:10,'2025-02-28 22:51:35,3.91,64.1092963218689,15.765069484710693,675.0160279273987,0,40,2,3,600,2
9,'2025-02-28 22:51:35,'2025-02-28 22:52:59,3.87,64.10704708099365,15.752384424209595,759.3375165462494,0,40,2,3,600,2
10,'2025-02-28 22:52:59,'2025-02-28 22:54:23,3.89,64.10830974578857,15.847257137298584,843.8115329742432,0,40,2,3,600,2
11,'2025-02-28 22:54:23,'2025-02-28 22:55:48,3.81,64.10790634155273,15.753566026687622,928.1387505531311,0,40,2,3,600,2
12,'2025-02-28 22:55:48,'2025-02-28 22:57:12,3.81,64.10762071609497,15.772275924682617,1012.4247589111328,0,40,2,3,600,2
13,'2025-02-28 22:57:12,'2025-02-28 22:58:36,3.81,64.1072211265564,15.843293190002441,1096.7807474136353,0,40,2,3,600,2
14,'2025-02-28 22:58:36,'2025-02-28 23:00:01,3.83,64.10741138458252,15.760118961334229,1181.1357889175415,0,40,2,3,600,2
15,'2025-02-28 23:00:01,'2025-02-28 23:01:25,3.79,64.10824990272522,15.77076268196106,1265.4085774421692,0,40,2,3,600,2
16,'2025-02-28 23:01:25,'2025-02-28 23:02:49,3.79,64.10692429542542,15.825515031814575,1349.7631587982178,0,40,2,3,600,2
17,'2025-02-28 23:02:49,'2025-02-28 23:04:14,3.81,64.11147022247314,15.808162212371826,1434.1421210765839,0,40,2,3,600,2
18,'2025-02-28 23:04:14,'2025-02-28 23:05:38,3.8,64.10990929603577,15.794827938079834,1518.4426443576813,0,40,2,3,600,2
19,'2025-02-28 23:05:38,'2025-02-28 23:07:02,3.83,64.10938715934753,15.843036413192749,1602.8489215373993,0,40,2,3,600,2
