Iteration,File,Buffer Size,Jitter Magnitude,Policy,Base Length for Thresholding,Threshold,Decay,Average Queue Size,Std Dev Queue Size,Average Frame Time,Std Dev Frame Time,Interrupt Count,Interrupts Magnitude(ms),Interrupt Mag (ms/s),Std Interrupt Mag,Interrupt Frequency (/s)
44,jitter_values_20250226_165635.csv,2,20,E-Policy,3,600,2,3.4884075655887736,0.6339638218390584,16.690039139719342,2.1354902214847233,1,34.4788,0.01919268499293034,0.0,0.01675535109111083
45,jitter_values_20250226_165800.csv,2,20,E-Policy,3,600,2,2.9636973764490544,0.41289853009454736,16.69182223917023,1.7916402368023023,1,49.0805,0.2638242657350267,0.0,0.016753761644160398
46,jitter_values_20250226_165924.csv,2,20,E-Policy,3,600,2,3.858712236801953,0.8479638338420225,16.699203814464447,1.8315102100719443,2,"36.3318, 35.0751",0.07944571900067435,0.6283500000000011,0.03351975979263225
47,jitter_values_20250226_170048.csv,2,20,E-Policy,3,600,2,2.936870997255261,0.3341149402500636,16.689995242451968,1.7861653865058895,1,49.2925,0.26733735289286176,0.0,0.01675133605934432
48,jitter_values_20250226_170212.csv,2,20,E-Policy,3,600,2,3.7145471180237877,0.6602124250172227,16.692762793534612,1.6857908984620982,1,34.9253,0.026671208970831146,0.0,0.01675362977025336
49,jitter_values_20250226_170336.csv,2,20,E-Policy,3,600,2,3.3907203907203907,0.742571948836851,16.699523778998778,1.8705795862790366,0,,0.0,0.0,0.0
50,jitter_values_20250226_170501.csv,2,20,E-Policy,3,600,2,4.253435114503817,0.9313072464128499,16.701661038167938,1.6740653817004403,1,35.7959,0.04128226242649831,0.0,0.016763921221400063
51,jitter_values_20250226_170625.csv,2,20,E-Policy,3,600,2,2.874961878621531,0.47472234916471934,16.689567673071057,1.6248190125759339,1,49.6997,0.2741614599314591,0.0,0.01675151710107541
52,jitter_values_20250226_170749.csv,2,20,E-Policy,3,600,2,2.910338517840805,0.3560852176067501,16.683269990850867,1.620743645493417,1,35.2506,0.032116622544050136,0.0,0.016751260672254225
53,jitter_values_20250226_170913.csv,2,20,E-Policy,3,600,2,2.7809640024405127,0.6068302497525444,16.70185457596095,1.8272552150255505,2,"36.0852, 52.1436",0.3610526465180359,8.0292,0.03348951268066033
